ID,UTTERANCE,CORE RELATIONS
0,who plays luke on star wars new hope,movie.starring.actor movie.starring.character
1,show credits for the godfather,movie.starring.actor
2,who was the main actor in the exorcist,movie.starring.actor
3,find the female actress from the movie she s the man,movie.starring.actor actor.gender
4,who played dory on finding nemo,movie.starring.actor movie.starring.character
5,who was the female lead in resident evil,movie.starring.actor actor.gender
6,who played guido in life is beautiful,movie.starring.actor movie.starring.character
7,who was the co-star in shoot to kill,movie.starring.actor
8,find the guy who plays charlie on charlie's angels,movie.starring.actor movie.starring.character
9,cast and crew of movie the campaign,movie.starring.actor
10,cast and crew of the campaign,movie.starring.actor
11,who plays in the movie the campaign,movie.starring.actor
12,who starred in the campaign,movie.starring.actor
13,who were the crew for the campaign,movie.starring.actor
14,who was the lead man in taxi driver,movie.starring.actor
15,star of twilight,movie.starring.actor
16,who stars in vulgaria,movie.starring.actor
17,what are the names of female actors who played in lost,movie.starring.actor actor.gender
18,can i see the set list and cast for life is beautiful,movie.starring.actor
19,cast and crew of life is beautiful,movie.starring.actor
20,show cast and crew for the movie life is beautiful,movie.starring.actor
21,what's the cast for life is beautiful,movie.starring.actor
22,who played in life is beautiful,movie.starring.actor
23,who played in life is beautiful,movie.starring.actor
24,who was in life is beautiful,movie.starring.actor
25,who were roberto benigni's costars on life is beautiful,movie.starring.actor
26,i am looking for the actor that played in pretty women,movie.starring.actor
27,star of troy,movie.starring.actor
28,who played robin in batman forever,movie.starring.actor movie.starring.character
29,find the male actor from dirty harry,movie.starring.actor actor.gender
30,show me the actor of the ranam,movie.starring.actor
31,rocky actor,movie.starring.actor
32,what actor played in the amazing spider man,movie.starring.actor
33,who are the actors in captain america,movie.starring.actor
34,who starred in captain america,movie.starring.actor
35,who was in the movie captain america,movie.starring.actor
36,who were the cast members in the hobbist,movie.starring.actor
37,show me the actor of the movie varsham,movie.starring.actor
38,which female actors starred in hitch,movie.starring.actor actor.gender
39,can i see the cast and crew for the movie in july,movie.starring.actor
40,list cast and crew in july,movie.starring.actor
41,who stars in in july,movie.starring.actor
42,who stars in in july,movie.starring.actor
43,roll credits for top gun,movie.starring.actor
44,show me the actor of the movie sirisiri muvva,movie.starring.actor
45,rocky 2 actor,movie.starring.actor
46,who is chewbakka,movie.starring.actor movie.starring.character
47,who stared in i love lucy,movie.starring.actor
48,apollo thirteen cast members,movie.starring.actor
49,can you tell me more about the cast and crew of the movie apollo thirteen,movie.starring.actor
50,cast and crew for apollo thirteen,movie.starring.actor
51,castmembers of apollo thirteen,movie.starring.actor
52,complete cast and crew of apollo thirteen,movie.starring.actor
53,find for information about the cast of appolo thirteen,movie.starring.actor
54,find info on the crew of apollo thirteen,movie.starring.actor
55,give me more facts about the cast and crew of the movie apollo thirteen,movie.starring.actor
